Name	amikacin	apramycin	arbekacin	astromicin	butirosin	dibekacin	gentamicin	hygromycin	isepamicin	kanamycin	lividomycin	neomycin	netilmicin	paromomycin	ribostamycin	sisomicin	spectinomycin	streptomycin	tobramycin
AAC1	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S
AAC2	R	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	R
AAC3	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
aac(3)-IIa	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
aac(3)-IId	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
aac(3)-Ib	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
AAC6	R	S	R	S	S	R	R	S	R	R	S	R	R	S	S	R	S	S	R
AAC6-Ib	R	S	R	S	S	R	R	S	R	R	S	R	R	S	S	R	S	S	R
aac(6')-Ib	R	S	R	S	S	R	R	S	R	R	S	R	R	S	S	R	S	S	R
aac(6')Ib-cr	R	S	R	S	S	R	R	S	R	R	S	R	R	S	S	R	S	S	R
aac(6')-Ib-cr	R	S	R	S	S	R	R	S	R	R	S	R	R	S	S	R	S	S	R
aac(6')-IIc	R	S	R	S	S	R	R	S	R	R	S	R	R	S	S	R	S	S	R
aac(6')-33	R	S	R	S	S	R	R	S	R	R	S	R	R	S	S	R	S	S	R
AAC6-I	R	S	R	S	S	R	R	S	R	R	S	R	R	S	S	R	S	S	R
ANT2	R	S	R	S	S	S	R	S	R	R	S	S	R	S	S	R	S	S	R
aadB	R	S	R	S	S	S	R	S	R	R	S	S	R	S	S	R	S	S	R
Aminoglyc_resit	R	S	R	S	S	S	R	S	R	R	S	S	R	S	S	R	S	S	R
ANT3	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
AADA	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
aadA1	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
aadA2	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
aadA3	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
AadA4	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
aadA25	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
aadA8	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
aadA17	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
aadA5	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
AADD	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
aadD	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S
ANT4	S	S	S	S	S	S	R	S	R	R	R	R	S	R	S	S	S	S	R
ANT6	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S
aad(6)	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S
ANT9	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S
spc	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S
APH2	R	S	R	S	S	S	R	S	R	R	S	S	R	S	S	R	S	S	R
APH3''	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S
strA	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S
APH3'	R	S	S	S	R	S	R	S	R	R	R	R	S	R	R	S	S	S	S
aph(3')-Ia	R	S	S	S	R	S	R	S	R	R	R	R	S	R	R	S	S	S	S
aph(3')-VIa	R	S	S	S	R	S	R	S	R	R	R	R	S	R	R	S	S	S	S
aph(3')-III	R	S	S	S	R	S	R	S	R	R	R	R	S	R	R	S	S	S	S
aph(3')-Ic	R	S	S	S	R	S	R	S	R	R	R	R	S	R	R	S	S	S	S
aphA-3	R	S	S	S	R	S	R	S	R	R	R	R	S	R	R	S	S	S	S
APH3	R	S	S	S	R	S	R	S	R	R	R	R	S	R	R	S	S	S	S
APH4	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S
APH6	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S
strB	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S
APH_6_hur	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S
APH7	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S
APH8	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S
ArmA_Rmt	R	S	R	S	S	R	R	S	R	R	S	S	R	S	S	R	S	S	R
rmtC	R	S	R	S	S	R	R	S	R	R	S	S	R	S	S	R	S	S	R
rmtF	R	S	R	S	S	R	R	S	R	R	S	S	R	S	S	R	S	S	R
armA	R	S	R	S	S	R	R	S	R	R	S	S	R	S	S	R	S	S	R
