Name	Ampicillin	Cefazolin	Cefotetan	Ceftazidime	Ceftriaxone	Cefepime	Meropenem
CTX-M-15	R	R	S	R	R	R	S
TEM-1	R	R	S	S	S	S	S
OXA-1	R	R	S	S	S	S	S
OXA-2	R	R	S	S	R	S	S
SHV-1	R	R	S	S	S	S	S
SHV-2	R	R	S	R	R	S	S
SHV-3	R	R	S	R	R	S	S
SHV-4	R	R	S	R	R	S	S
SHV-5	R	R	S	R	R	S	S
SHV-6	R	R	S	R	S	S	S
SHV-7	R	R	S	R	R	S	S
SHV-8	R	R	S	R	R	S	S
SHV-9	R	R	S	R	R	S	S
SHV-10  R	R	S	R	R	S	S
SHV-11	R	R	S	S	S	S	S
KPC-2	R	R	R	R	R	R	R
KPC-3	R	R	R	R	R	R	R
NDM-1	R	R	R	R	R	R	R
CTX-M-27	R	R	S	R	R	S	S
TEM-12	R	R	S	R	R	S	S
CMY-2	R	R	R	R	R	S	S
CMY-4	R	R	R	R	R	S	S
CMY-42	R	R	R	R	R	S	S
ACT-7	R	R	R	R	R	S	S
ACT-14	R	R	R	R	R	S	S
IMP-33	R	R	R	R	R	R	R
SHV-33	R	R	S	S	S	S	S
SHV-26	R	R	S	S	S	S	S
SHV-28	R	R	S	R	R	S	S
SHV-71	R	R	S	S	S	S	S
SHV-36	R	R	S	R	R	S	S
SHV-12	R	R	S	R	R	S	S
SHV-2A	R	R	S	R	R	S	S
MIR-5	R	R	R	R	R	S	S
OXA-9	R	R	S	S	S	S	S
OXA-10	R	R	S	S	S	S	S
CTXM	R	R	S	R	R	S	S
TEM	R	R	S	R	R	S	S
OXA	R	R	S	S	R	S	S
SHV-LEN	R	R	S	R	R	S	S
KPC	R	R	V	R	R	R	R
NDM-CcrA	R	R	R	R	R	R	R
ClassA	R	R	S	R	R	S	S
ClassC-AmpC	R	R	S	S	S	S	S
ClassD	R	R	S	S	R	S	S
